,id,follow,meet,givefuture,info,march,sign,give12m,compromise,tempobama,tempblack,tempwhite,temphisp,temppolice,tempfem,tempmuslim,tempsci,dem_cand,rep_cand,lazyb,lazy_w,lazy_h,lazy_m,violent_b,violent_w,violent_h,violent_m,econ_now,econ12m,pidAggr,ISSUES_1,ISSUES_2,ISSUES_3,ISSUES_4,ISSUES_5,ISSUES_6,ISSUES_7,ISSUES_8,ISSUES_9,ISSUES_10,ISSUES_11,ISSUES_12,ISSUES_13,ISSUES_14,ISSUES_15,ISSUES_16,ISSUES_17,ISSUES_18,ISSUES_19,ISSUES_20,ISSUES_21,discb,disch,discw,discg,discwo,discm,discmu,discc,discselfsex,srvspend,camfin,imlegal,imnumb,eqpay,pleave,crime_spend,death,terrorworry,terror12m,terrorlocal,incgp20,isistroops,mnwge,hlthspend,childcr,get_ahead,ladder,fin_well,warm,warm_cause,warm_do,free_trade,stpwhite,stpblack,frcwhite,frcblack,pkdeficit,pkspend,vaccine,autism,obama_muslim,amer_identity,race_identity,buycott,boycott,skin_tone,skin_disc,birthyr,gender
874,875,1,3,2,1,2,2,2,2,31,41,41,39,35,40,27,85,3.0,11.0,2,3,4,5,2,2,3,1,3,4,4.0,8,8,8,8,8,3,8,4,1,8,8,8,8,8,8,8,8,8,8,2,8,2,2,1,2,2,4,1,2,2,6,1,3,5,1,1,5,6,3,1,4,1,6,1,1,1,1,7,7,1,1,1,7,4,5,4,5,1,2,7,3,2,5,1,2,2,1,2,1987,2
966,967,1,3,5,5,1,2,2,1,89,100,40,100,0,95,100,96,3.0,11.0,5,1,5,5,5,1,5,5,2,3,4.0,8,8,8,8,8,8,8,3,8,8,8,8,8,1,8,8,4,8,8,2,8,1,1,5,3,3,5,1,5,4,7,1,4,2,1,1,2,5,5,9,5,1,7,1,1,1,2,7,6,1,1,2,4,1,5,2,5,1,1,1,6,2,5,1,2,1,6,2,1990,2
345,346,1,5,5,5,2,2,2,1,30,50,60,50,60,50,5,60,3.0,9.0,3,3,4,5,3,3,4,3,2,4,4.0,8,8,8,8,8,8,8,8,2,8,8,4,8,8,3,8,8,8,8,8,1,4,4,2,3,3,4,1,4,5,3,1,2,4,2,2,2,2,9,2,2,1,3,1,2,2,3,6,5,1,1,1,6,3,5,3,5,1,1,1,5,1,4,3,2,2,5,5,1936,1
895,896,1,1,1,1,1,1,1,1,86,64,81,67,100,80,73,100,3.0,6.0,3,3,5,5,3,2,4,3,4,2,4.0,8,8,1,8,8,8,8,4,8,8,3,8,8,8,8,8,8,8,8,2,8,2,3,5,2,4,5,1,5,5,7,7,1,1,1,1,1,6,4,9,5,1,3,1,1,1,2,6,6,1,1,1,6,3,3,2,2,1,1,1,6,2,3,5,1,1,3,5,1988,1
941,942,2,3,2,3,2,2,1,1,54,64,82,84,29,76,60,88,5.0,10.0,8,8,2,4,8,3,8,4,3,8,4.0,8,8,8,8,1,2,8,8,8,8,8,8,8,8,3,8,8,4,8,8,8,8,8,8,8,8,8,8,2,1,2,5,3,3,5,3,3,7,9,3,3,3,5,1,1,1,5,7,6,2,3,7,2,2,5,3,3,2,2,7,3,2,2,2,2,2,3,1,1952,2
937,938,2,5,5,4,2,2,2,2,88,50,36,64,41,67,51,62,5.0,11.0,4,2,3,5,1,3,2,1,3,4,4.0,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8,8,2,8,8,4,1,2,3,4,1,1,3,2,1,3,4,4,3,2,4,3,2,4,9,3,4,2,1,4,4,5,4,5,2,2,2,4,2,1,5,1,4,1,3,1,2,2,5,2,2,1,5,2,1997,2
903,904,2,5,5,5,2,2,2,1,21,99,99,100,61,51,52,72,5.0,9.0,3,3,3,3,3,3,3,3,5,5,4.0,8,8,8,8,8,8,8,1,8,8,3,8,8,8,8,4,8,8,8,8,2,3,2,4,1,4,5,2,2,5,1,1,2,4,3,3,2,1,2,9,3,1,5,1,5,4,2,5,6,1,1,3,4,3,4,3,4,1,2,1,4,2,3,3,2,2,1,5,1973,2
931,932,3,5,5,5,2,2,2,1,68,77,41,81,78,84,76,94,3.0,11.0,5,5,5,5,5,5,5,5,5,2,4.0,8,8,8,8,8,3,8,8,8,8,8,8,8,8,8,1,2,8,8,4,8,3,3,3,3,3,4,2,4,3,4,4,2,4,1,1,5,7,9,4,3,2,4,2,2,1,2,5,5,2,3,3,4,2,4,3,3,1,4,1,5,2,2,4,1,1,2,3,1987,2
929,930,2,1,5,5,2,2,2,1,98,96,49,2,6,12,71,80,5.0,11.0,5,5,5,5,4,1,4,3,3,3,4.0,8,8,8,8,4,8,8,2,8,8,8,8,8,3,1,8,8,8,8,8,8,1,3,5,2,3,5,1,5,1,6,1,1,4,1,1,5,4,5,5,5,1,4,1,1,1,1,6,4,1,1,1,2,2,5,2,5,1,4,1,5,2,5,5,2,1,5,2,1973,2
909,910,3,5,5,5,2,2,2,2,39,71,70,62,90,63,70,76,3.0,9.0,2,2,2,2,2,2,2,2,4,2,4.0,8,8,8,8,8,4,8,1,8,8,2,8,8,8,8,8,8,8,8,3,8,5,5,5,5,5,5,5,5,4,5,7,1,6,3,1,3,2,4,9,4,1,6,1,1,1,2,7,6,1,3,2,6,5,5,2,2,1,4,1,6,1,3,5,2,2,1,4,1990,2
